index,time,S:Madeira__all,I:Madeira__all,R:Madeira__all,obs_mean:Madeira__ecdc__inc,obs_real:Madeira__ecdc__inc
1300,35,13035.2,1454.57,252812,387.489,396.592
1300,42,11731.4,1305.91,254265,325.656,278.893
1300,49,10533.2,1185.22,255584,293.125,267.676
1300,56,9600.52,1134.17,256567,278.333,176.884
1300,63,8929.75,910.679,257462,213.149,221.176
1300,70,8496.36,591.379,258214,129.873,107.385
1300,77,8387.96,355.432,258559,76.3088,82.1853
1300,84,8540.67,247.931,258513,54.8157,29.0233
1300,91,8752.75,149.837,258399,32.4889,39.4045
1300,98,9049.1,78.7473,258174,16.8999,20.7559
1300,105,9431.59,47.7345,257823,10.6844,7.39909
1300,112,9850.2,41.273,257411,9.69528,9.98191
1300,119,10267.1,28.3315,257007,6.58372,6.54407
1350,0,18520.3,201.123,248581,0,0
1350,7,18661.7,257.671,248383,42.5938,47.0858
1350,14,18159.5,681.914,248461,120.442,127.55
1350,21,17260.8,1102.21,248939,189.553,188.087
1350,28,15913.4,1540.26,249848,259.654,214.071
1350,35,13679.4,2162.72,251460,359.97,338.494
1350,42,11932.8,2040.36,253329,305.122,275.336
1350,49,10384.1,1871.55,255046,271.653,218.831
1350,56,9328.75,1738.78,256234,247.456,262.361
1350,63,8602.56,1419.09,257280,188.581,214.847
1350,70,8088.23,981.042,258233,119.106,146.711
1350,77,7890.77,634.044,258777,73.9178,83.7809
1350,84,7974.16,443.946,258884,53.1335,37.8625
1350,91,8132.87,282.853,258886,32.9686,39.8932
1350,98,8382.06,165.613,258754,19.0216,24.5742
1350,105,8725.33,103.597,258473,12.4191,7.36128
1350,112,9120.88,79.0763,258102,10.1157,13.2502
1350,119,9525.61,54.563,257722,6.94537,5.50829
1400,0,17188.9,160.452,249953,0,0
1400,7,17408.7,171.748,249722,36.8751,30.2364
1400,14,17014.4,520.617,249767,117.664,126.337
1400,21,16346.6,798.045,250157,177.547,157.533
1400,28,15334.3,1074.29,250893,236.43,256.058
1400,35,13534.6,1531.55,252236,336.88,327.979
1400,42,12312.3,1350.57,253639,274.169,245.978
1400,49,11166.3,1250.04,254886,253.11,227.018
1400,56,10233.3,1220.15,255849,245.64,257.543
1400,63,9599.73,1001.7,256701,191.79,177.075
1400,70,9190.97,674.872,257436,120.842,107.865
1400,77,9073.39,421.893,257807,73.6349,74.1117
1400,84,9201.64,297.289,257803,53.3001,39.6174
1400,91,9397.68,183.749,257721,32.2333,31.1983
1400,98,9680.79,100.469,257521,17.411,10.3769
1400,105,10050.7,61.4264,257190,11.0739,9.17344
1400,112,10460.3,50.7898,256791,9.63356,9.58662
1400,119,10872.8,34.9576,256394,6.56442,2.18411
1450,0,21432.6,137.343,245732,0,0
1450,7,21624.7,178.371,245499,35.4589,30.8068
1450,14,21083.1,613.949,245605,125.414,109.759
1450,21,20091.7,1030.97,246179,208.217,181.985
1450,28,18637.5,1444.1,247220,289.066,211.685
1450,35,16196.5,2038.75,249067,407.179,295.972
1450,42,14195.6,1874.46,251232,348.433,366.25
1450,49,12384.9,1659.22,253258,301.97,331.306
1450,56,11137.9,1511.57,254652,271.401,276.318
1450,63,10288.6,1184.86,255829,201.894,196.464
1450,70,9704.35,764.716,256833,121.441,136.964
1450,77,9504.66,461.946,257335,71.3645,52.1452
1450,84,9635.81,319.585,257347,50.7608,45.2664
1450,91,9813.05,194.956,257294,30.3048,25.243
1450,98,10072.7,106.348,257123,16.3174,15.176
1450,105,10434.2,65.2671,256803,10.4055,6.44015
1450,112,10849.5,53.5683,256399,8.98201,5.65752
1450,119,11259,36.8678,256006,6.12281,5.06257
